sale_id,sale_reference,product_id,customer_id,employee_id,quantity,sale_date,state,town,method_of_payment
1,5ea72efb,55,499,1,1,12/31/2022 3:43,Indiana,Aprilstad,Credit Card
2,b5015710,19,212,15,3,3/14/2022 15:49,Missouri,West Angelicaborough,Debit Card
3,f85add14,145,273,14,4,12/17/2020 7:57,New Hampshire,New Dominiqueland,Credit Card
4,0de53585,81,258,5,1,2/28/2024 9:21,Tennessee,Erikburgh,Cash
5,0471cfb9,38,52,14,5,10/15/2023 18:53,Colorado,Johnsonfort,Mobile Payment
6,34d54ded,11,420,11,1,6/7/2023 5:56,Iowa,Port Elizabethside,Cash
7,3b8c62b0,122,156,3,1,1/14/2025 17:01,Utah,Thomasview,Mobile Payment
8,6.96E+94,148,411,7,5,10/14/2023 4:50,New Mexico,Ericaborough,Debit Card
9,b221fbbd,12,168,10,5,6/2/2025 2:21,Connecticut,Higginsfort,Cash
10,a2bd6387,148,442,1,2,3/11/2021 3:35,New Mexico,South Jameschester,Cash
11,a0044849,29,64,1,3,8/17/2021 9:57,West Virginia,Jonesside,Cash
12,41d292d7,77,111,6,4,8/11/2020 7:19,Arizona,South Rickymouth,Debit Card
13,406f1857,36,142,7,2,9/27/2022 0:15,Oklahoma,West David,Cash
14,27e44eaf,112,438,2,4,3/4/2021 15:47,South Carolina,New Kathyborough,Mobile Payment
15,b49afe12,23,381,10,1,12/17/2022 3:55,New Mexico,Lake Jerome,Mobile Payment
16,fc863b24,27,333,8,3,11/11/2025 5:26,North Dakota,North Bruceburgh,Mobile Payment
17,c82d3c70,128,38,5,2,5/18/2022 21:29,Oklahoma,Phamburgh,Cash
18,280bb1f3,66,49,8,1,9/25/2024 6:32,Louisiana,South Joseview,Credit Card
19,132ee671,73,341,10,3,9/19/2022 1:23,Washington,Courtneychester,Debit Card
20,55e42e06,44,371,5,4,3/29/2022 4:34,Utah,North Theodore,Mobile Payment
21,3aeed737,76,472,9,4,5/24/2025 5:58,Utah,Millerborough,Debit Card
22,61fff287,8,138,14,1,5/29/2024 4:40,West Virginia,North Michaelmouth,Credit Card
23,35879c8d,56,154,3,2,8/19/2021 11:29,Hawaii,North Erin,Mobile Payment
24,c84c95bb,14,83,2,3,5/3/2021 10:20,South Dakota,Port Steven,Debit Card
25,e584d9d0,86,171,3,3,10/10/2025 16:43,Nevada,Christopherberg,Cash
26,ed14402c,23,226,7,5,10/31/2024 1:58,Mississippi,West Jennifer,Debit Card
27,52be3b46,45,78,13,3,3/19/2021 5:32,West Virginia,New Barbarafort,Debit Card
28,1e8ca352,35,289,12,4,5/21/2020 5:07,North Dakota,Zavalachester,Mobile Payment
29,d230474e,9,449,11,2,12/2/2022 2:20,Montana,Peterton,Cash
30,1255179c,94,159,6,3,10/29/2022 23:32,Utah,East John,Mobile Payment
31,6d25c749,145,278,3,3,7/31/2020 16:16,Virginia,East Julieburgh,Mobile Payment
32,2acaf0fc,54,290,6,2,7/18/2020 16:51,New Hampshire,North Kyle,Mobile Payment
33,a784e4ca,40,458,5,1,5/5/2023 0:31,North Dakota,Gordonhaven,Cash
34,98364a42,144,194,4,2,10/5/2020 13:22,Missouri,East Mariastad,Cash
35,0b707c98,52,457,13,5,11/26/2020 4:39,Nebraska,Marymouth,Debit Card
36,45bac508,69,453,3,1,4/12/2024 22:54,Oregon,South Janicestad,Cash
37,2184224,140,302,1,3,2/23/2023 6:53,Utah,East Patriciaton,Mobile Payment
38,4ab853bd,89,430,1,1,12/26/2025 13:29,Missouri,Mariamouth,Credit Card
39,5ae04c7a,45,360,14,4,2/14/2025 6:21,Kansas,North Andrea,Cash
40,73f656e0,20,447,10,5,8/1/2025 2:19,Alabama,Gregorychester,Cash
41,183033f9,51,456,13,5,7/27/2022 11:01,California,Saraville,Credit Card
42,f68b4a84,92,423,8,2,2/2/2024 7:50,California,Alfredton,Mobile Payment
43,be04532b,49,244,3,2,12/20/2022 4:59,Utah,East Johnfurt,Credit Card
44,433ea1fe,141,93,4,5,9/23/2023 16:20,Arizona,West Scottfurt,Credit Card
45,fa26fc95,120,55,3,3,3/2/2022 15:09,Pennsylvania,New Stephenland,Debit Card
46,9.63E+101,70,38,11,3,11/27/2024 10:30,Ohio,Hortonview,Mobile Payment
47,947bff49,126,445,8,3,9/6/2022 17:04,North Dakota,Port Barbarabury,Mobile Payment
48,da6d2440,101,128,7,3,12/7/2025 15:42,Vermont,New Reginaldfurt,Credit Card
49,19fc3392,39,11,10,3,5/17/2021 16:15,West Virginia,Charleschester,Cash
50,855ec9bd,69,309,6,3,11/28/2024 22:01,New Jersey,Davisberg,Cash
51,734efeba,132,452,11,3,4/11/2023 21:26,California,Brownmouth,Debit Card
52,807e6b1e,146,28,12,2,6/9/2020 13:22,Ohio,South Kristina,Credit Card
53,754339df,37,58,4,1,11/28/2021 18:37,Arkansas,West David,Credit Card
54,38c8599f,71,65,4,2,1/28/2022 19:42,New Mexico,Christinaland,Cash
55,ca88086a,92,374,11,3,5/3/2024 4:04,Georgia,New Michael,Debit Card
56,50a5bbdd,38,404,15,4,6/24/2021 3:30,Illinois,Lake Katherine,Mobile Payment
57,d86e4f3e,74,112,2,2,1/22/2024 2:25,Maryland,East Sean,Mobile Payment
58,440eaee7,43,88,9,2,3/18/2024 2:59,Maine,North Jessicaside,Debit Card
59,35beecfd,59,89,15,2,4/29/2022 18:58,Rhode Island,North Shane,Cash
60,75d8b45f,123,412,5,5,11/7/2020 14:06,Missouri,Vincentstad,Debit Card
61,3d52820f,24,497,7,1,11/17/2020 20:17,New Mexico,Heatherhaven,Debit Card
62,1fd38c68,59,92,9,2,11/22/2023 12:51,Illinois,Johnsontown,Debit Card
63,78e42c08,93,425,9,4,3/15/2025 10:47,Maryland,East Jessicaside,Cash
64,9f1a953a,127,65,2,4,3/20/2020 1:37,New Hampshire,Port Timothyfort,Debit Card
65,a94aac03,132,65,2,3,9/21/2023 17:15,Maryland,Amyburgh,Credit Card
66,c00e80b2,150,194,3,3,4/19/2024 12:57,Indiana,Bestside,Cash
67,00d079f5,5,493,9,5,6/19/2025 20:30,Michigan,Molinachester,Credit Card
68,4d2e46e7,93,320,2,1,6/20/2025 2:34,Hawaii,North Matthewberg,Mobile Payment
69,780b602e,118,109,9,4,2/3/2022 18:23,Alabama,Lisaville,Cash
70,605a307d,72,129,6,3,11/21/2021 7:48,Arizona,Lake Garyshire,Debit Card
71,87b61c31,92,113,10,3,12/14/2022 23:43,Alaska,Debrafurt,Cash
72,a66072e5,69,479,9,3,7/11/2022 23:11,Wisconsin,Benitezburgh,Debit Card
73,fa2a0962,106,173,2,3,11/17/2023 7:20,Colorado,Carterbury,Credit Card
